token,tag
СССР,B-LOC
имел,O
выход,O
к,O
крупнейшему,O
в,O
мире,O
озеру,O
Каспийскому,B-ORG
морю,I-ORG
совместно,O
с,O
Ираном,B-LOC
а,O
на,O
его,O
территории,O
располагалось,O
самое,O
глубокое,O
и,O
самое,O
большое,O
в,O
мире,O
по,O
объёму,O
пресноводное,O
озеро,O
Байкал,B-LOC
Сохранившиеся,O
каменные,O
крепостные,O
сооружения,O
построены,O
на,O
месте,O
детинца,O
значительно,O
позже,O
в,O
XVI,O
веке,O
СССР,B-LOC
во,O
Второй,O
мировой,O
войне,O
Основные,O
статьи,O
СССР,B-LOC
во,O
Второй,O
мировой,O
войне,O
и,O
Великая,O
Отечественная,O
война,O
См,O
также,O
Предыстория,O
Великой,O
Отечественной,O
войны,O
и,O
Советско,B-ORG
германские,I-ORG
соглашения,I-ORG
См,O
также,O
Польский,O
поход,O
Красной,B-ORG
армии,I-ORG
и,O
Советско,B-ORG
финляндская,I-ORG
война,I-ORG
См,O
также,O
Антигитлеровская,B-ORG
коалиция,I-ORG
Слева,B-PER
раздел,O
сфер,O
интересов,O
в,O
Восточной,B-LOC
Европе,I-LOC
по,O
Секретному,B-LOC
доп,I-LOC
протоколу,O
Кандидат,O
экономических,O
наук,O
В,O
конце,O
своего,O
правления,O
президент,O
Борис,B-PER
Ельцин,I-PER
и,O
его,O
окружение,O
озаботились,O
выбором,O
преемника,O
Борису,B-PER
Ельцину,I-PER
на,O
посту,O
президента,O
июля,O
года,O
транспортный,O
грузовой,O
корабль,O
Прогресс,O
пристыковался,O
к,O
модулю,O
Пирс,O
МКС,B-ORG
через,O
часа,O
минут,O
после,O
старта,O
став,O
самым,O
быстрым,O
космическим,O
кораблем,O
в,O
истории,O
полетов,O
к,O
До,O
июня,O
того,O
же,O
года,O
он,O
собирался,O
выделить,O
экосистемы,O
для,O
бизнеса,O
и,O
для,O
клиентов,O
в,O
отдельные,O
структуры,O
а,O
ключевую,O
для,O
группы,O
электронную,O
коммерцию,O
в,O
отдельный,O
холдинг,O
куда,O
вошли,O
бы,O
СберМаркет,B-ORG
СберМегаМаркет,B-ORG
СберЛогистика,B-ORG
и,O
доля,O
в,O
СП,B-ORG
с,O
VK,O
Ситимобил,O
Delivery,B-ORG
Club,I-ORG
Самокат,O
Ленинградский,B-ORG
государственный,I-ORG
На,O
первое,O
время,O
предполагалось,O
использовать,O
ракету,O
носитель,O
а,O
в,O
перспективе,O
Отдельная,O
глава,O
в,O
Конституции,O
предусматривала,O
права,O
и,O
гарантии,O
В,O
году,O
был,O
запущена,O
ракета,O
носитель,O
тяжёлого,O
класса,O
Протон,O
М,O
предназначенный,O
для,O
выведения,O
автоматических,O
космических,O
аппаратов,O
на,O
орбиту,O
Земли,B-LOC
и,O
далее,O
в,O
космическое,O
пространство,O
Рег,O
ЕГРОКН,O
Для,O
повышения,O
обороноспособности,O
кремли,O
пытались,O
строить,O
с,O
учётом,O
естественных,O
преимуществ,O
рельефа,O
местности,O
на,O
мысах,O
у,O
слияния,O
рек,O
на,O
возвышенностях,O
В,O
году,O
Ельцин,B-PER
и,O
близкие,O
олигархи,O
остановились,O
на,O
кандидатуре,O
бывшего,O
директора,O
ФСБ,B-ORG
Владимира,B-PER
Путина,I-PER
По,O
итогам,O
выборов,O
в,O
Госдуму,B-ORG
поддержанное,O
Путиным,B-PER
новое,O
политическое,O
движение,O
Единство,B-ORG
набрало,O
голосов,O
заняв,O
второе,O
Сократите,O
объём,O
текста,O
в,O
соответствии,O
с,O
рекомендациями,O
правил,O
о,O
взвешенности,O
изложения,O
и,O
размере,O
статей,O
Звук,O
а,O
также,O
разработчик,O
биометрии,O
и,O
распознавания,O
речи,O
ЦРТ,B-ORG
разработчик,O
биометрии,O
и,O
распознавания,O
речи,O
